REC_ID,REC2_ID,CULTURE,SEX,AGE,DATE_OF_BIRTH,TITLE,GIVEN_NAME,SURNAME,STATE,SUBURB,POSTCODE,STREET_NUMBER,ADDRESS_1,ADDRESS_2,PHONE_NUMBER,SOC_SEC_ID,BLOCKING_NUMBER,FAMILY_ROLE,ID
"
rec-61642-org",rec-66126-org," unk"," f"," 32"," 19840722"," "," mitchell"," scolastique"," vic"," bullarto"," 4823"," 10"," empire circuit"," "," 02 66787107"," 9025786"," 3"," NoRole",13
"
rec-25838-org",rec-36832-org," chi"," f"," 30"," 19860522"," "," jacob"," lao"," vic"," merrigum"," 3031"," 314"," frencham place"," "," 618 98969769"," 4110727"," 7"," NoRole",14
"
rec-33712-dup-0",rec-43256-org," eng"," f"," "," 19630326"," "," tes"," gore"," vic"," guthridg"," 4152"," 1"," tenison-woods circuit"," "," 618 41440567"," 2215929"," 7"," NoRole",15
"
rec-72564-org",rec-79371-org," ind"," "," 23"," 19931219"," "," benjamin"," rathore"," nsw"," blacktown"," 2429"," 3"," bootle place"," rowethorpe"," 612 00114859"," 5104653"," 8"," NoRole",16
"
rec-88334-org",rec-72473-org," vie"," "," 13"," 20030619"," "," kyle"," ngodinh"," vic"," rosewhite"," 2408"," 50"," duggan street"," "," 08 20865471"," 2666358"," 4"," NoRole",17
"
rec-92689-org",rec-49310-org," usa"," "," 36"," 19801022"," "," jaslyn"," mcknight"," vic"," rushworth"," 6152"," 64"," diggles street"," "," 618 15271857"," 7897921"," 8"," NoRole",18
"
rec-10347-org",rec-14226-org," eng"," f"," 30"," 19860217"," ms"," saskia"," scriven"," vic"," myers flat"," 4068"," 4"," brigalow street"," "," 08 33639754"," 9884950"," 4"," NoRole",19
"
rec-52062-org",rec-92146-org," chi"," f"," 34"," "," dr"," george"," pui"," qld"," booral"," 2280"," 23"," jagara street"," perry park hostel"," 02 32774798"," 7582256"," 1"," NoRole",20
"
rec-87795-dup-1",rec-17071-org," unk"," f"," 35"," 19810604"," dr"," julia"," aar s"," nsw"," aberdare"," 4012"," 76"," hall st reet"," "," 612 82049949"," 7355846"," 2"," NoRole",21
"
rec-61345-org",rec-90341-org," eng"," f"," 31"," 19850525"," ms"," devan"," kay"," nsw"," kangaloon"," 5092"," 32"," goldner circuit"," redwood village"," 2 72582488"," 6250672"," 4"," NoRole",22
"
rec-18169-org",rec-24174-org," tha"," f"," 34"," 19820622"," "," oscar"," chalerm"," nsw"," keiraville"," 5162"," 8"," tanumbirini street"," "," 2 81134538"," 1720493"," 0"," NoRole",23
"
rec-40109-org",rec-68504-org," unk"," f"," "," 19100815"," hon"," brianna"," scirri"," wa"," flynn"," 4817"," 20"," loureiro street"," broadbridge manor"," 08 90578565"," 7302695"," 2"," NoRole",24
"
rec-96875-org",rec-23271-org," chi"," f"," 35"," 19810728"," "," douglas"," yao"," "," edgecliff"," 6061"," 188"," small place"," "," 07 83736469"," 4697024"," 2"," NoRole",25
"
rec-30548-org",rec-17884-org," unk"," f"," 20"," 19960312"," mr"," shenae"," strampher"," vic"," rosebrook"," 7016"," 49"," paloona place"," kookaburra village"," 618 86985700"," 3488224"," 0"," NoRole",26
"
rec-93961-dup-0",rec-71716-org," ger"," f"," "," "," ms"," lachlan"," dieterle"," ss"," weetulta"," 4012"," 3"," hamblun place"," finniss park"," "," 7641295"," 0"," NoRole",27
"
rec-63167-org",rec-57739-org," usa"," m"," 26"," 19900323"," "," ella"," ross"," nsw"," yanco"," 2315"," 7"," bramston street"," "," 02 60501403"," 5104311"," 1"," NoRole",28
"
rec-54808-org",rec-34703-org," ara"," f"," 25"," "," "," jordan"," arjumand"," "," wangaratta"," 2293"," 30"," green street"," "," 07 19819262"," 4706612"," 2"," NoRole",29
"
rec-71047-org",rec-8342-org," eng"," f"," 31"," 19850728"," ms"," caleb"," hope"," nsw"," hunters hill"," 3000"," 2"," davenport street"," bega flats"," 2 96385067"," 1098990"," 9"," NoRole",30
"
rec-62214-org",rec-41559-org," eng"," f"," "," 19000314"," "," riley"," jeanes"," qld"," granville"," 3058"," 7"," currong street"," ettalong beach village"," 03 36674160"," 7742003"," 0"," NoRole",31
"
rec-51555-org",rec-14118-org," nor"," f"," 36"," 19800820"," "," "," noberg"," vic"," docklands"," 4352"," 85"," sanderson close"," tamarama"," 8 94378954"," 2932488"," 9"," NoRole",32
"
rec-41438-org",rec-12190-org," usa"," f"," 32"," 19840707"," "," harry"," bishop"," vic"," san remo"," 2034"," 105"," mcgill street"," "," 08 57965539"," 9434357"," 1"," NoRole",33
"
rec-99597-org",rec-61550-org," eng"," f"," 19"," 19970604"," "," kane"," dannel"," nsw"," biggera waters"," 4352"," 21"," wheeler crescent"," "," 03 01177745"," 8124495"," 4"," NoRole",34
"
rec-9176-org",rec-52214-org," ser"," f"," 12"," 20040719"," ms"," bianca"," rebaca"," wa"," piesseville"," 4702"," 30"," stuart street"," willaroo"," 08 36211594"," 3943302"," 9"," NoRole",35
"
rec-10357-org",rec-75718-org," eng"," f"," 27"," 19891003"," ms"," fynn"," tennison"," "," bowral"," 3083"," 5"," discovery street"," netanya villas"," 04 45856128"," 4586809"," 5"," NoRole",36
"
rec-75860-org",rec-76930-org," unk"," f"," 27"," 19890908"," "," "," scime"," nsw"," rufus river"," 4066"," 1"," "," "," 07 93752034"," 9480469"," 0"," NoRole",37
"
rec-33539-org",rec-78663-org," fin"," f"," "," 19991213"," dr"," imogen"," nousiainen"," nsw"," toronto"," 3221"," 101"," sharwood crescent"," "," 02 98073346"," 8685164"," 1"," NoRole",38
"
rec-52262-org",rec-32747-org," swe"," m"," 21"," 19951204"," "," benjamin"," rorholm"," nsw"," tallimba"," 2749"," 99"," tenison-woods circuit"," "," 02 49236540"," 8550754"," 0"," NoRole",39
"
rec-16709-dup-1",rec-93355-org," ger"," f"," 37"," 19790413"," col"," paige"," theiner"," wm"," salter point"," 3133"," 60"," leslie street"," "," 8 01257457"," 8734787"," 2"," NoRole",40
"
rec-56877-org",rec-50227-org," iri"," m"," "," "," ms"," simone"," fannon"," vic"," clifton hill"," 4221"," 4"," light street"," danica"," 08 88359115"," 5207235"," 6"," NoRole",41
"
rec-23318-org",rec-7496-org," chi"," "," 29"," 19870515"," dr"," sarah"," zeng"," nsw"," box hill"," 3638"," 38"," goldfinch circuit"," nunkeri"," 02 78818052"," 9328143"," 7"," NoRole",42
"
rec-45507-org",rec-4927-org," spa"," f"," 10"," 20060618"," "," charlotte"," batista"," sa"," basket range"," 3000"," 14"," kelleway avenue"," "," 7 44002783"," 2867787"," 8"," NoRole",43
"
rec-90404-org",rec-27525-org," unk"," f"," 31"," 19851009"," "," kyle"," strapp"," "," westmeadows"," 2230"," 11"," burnie street"," "," 07 66235285"," 1408802"," 8"," NoRole",44
"
rec-60787-org",rec-94349-org," ind"," f"," 33"," 19830207"," dr"," joel"," yogish"," sa"," carey gully"," 2614"," 46"," flowerdale place"," "," 617 60960632"," 5817800"," 1"," NoRole",45
"
rec-53717-org",rec-36777-org," ina"," "," 35"," 19810716"," mr"," harriet"," kurniawan"," nsw"," darlington point"," 4556"," 6"," popplewell place"," "," 03 55769394"," 1541609"," 8"," NoRole",46
"
rec-27372-dup-1",rec-37538-org," pol"," g"," 36"," 19800513"," "," jordan"," czartoryski"," qld"," wondunna"," 2850"," 26"," atherton atreet"," belgrave arcade"," 3 45146561"," 4148787"," 2"," NoRole",47
"
rec-98321-org",rec-53058-org," unk"," m"," 27"," 19891201"," "," ayla"," scime"," wa"," perillup"," 2340"," 328"," ridley street"," backacres"," 8 75895164"," 2887591"," 5"," NoRole",48
"
rec-95297-org",rec-78337-org," ara"," "," 35"," 19810425"," ms"," sam"," nafiah"," nsw"," royalla"," 5171"," 9"," hinton place"," "," 02 74246055"," 2332653"," 4"," NoRole",49
"
rec-11561-org",rec-81756-org," pol"," f"," 24"," 19920901"," "," yasmin"," duglosz"," vic"," toowong"," 2207"," 3"," serpentine street"," "," 618 73386394"," 1443852"," 3"," NoRole",50
"
rec-14100-org",rec-37194-org," eng"," "," 21"," 19950603"," mr"," logan"," earl"," vic"," tynong"," 2197"," 196"," antill street"," "," 618 87966595"," 9989396"," 2"," NoRole",51
"
rec-68665-dup-0",rec-41416-org," "," "," 20"," 19960901"," "," evan"," giannakeas"," vic"," olinda"," 4455"," 51"," knigts roat"," garden settlement"," 618 03856840"," 6403536"," 3"," NoRole",52
"
rec-99065-org",rec-82688-org," usa"," f"," 12"," 20040621"," dr"," abii"," strong"," vic"," hoppers crossing"," "," 13"," dunlop street"," "," 618 58554544"," 4566893"," 4"," NoRole",53
"
rec-97872-org",rec-14866-org," "," "," 38"," 19780921"," "," michael"," clarke"," vic"," university of melbourne"," 2122"," 126"," sid barnes crescent"," "," 8 64602281"," 3902927"," 5"," NoRole",54
"
rec-66807-dup-0",rec-74573-org," chi"," f"," 31"," 19850816"," dr"," jed"," zeng"," act"," gunga lin"," 5046"," 124"," marr street"," "," 612 57968751"," 3702 18"," 4"," NoRole",55
"
rec-23176-org",rec-9886-org," eng"," f"," 37"," 19791015"," ms"," eliza"," mayes"," nsw"," kyabram"," 3015"," 4"," torres street"," "," 612 22084082"," 8601439"," 0"," NoRole",56
"
rec-72118-org",rec-83634-org," unk"," f"," 21"," 19950108"," ms"," sophie"," aani"," nsw"," bergalia"," 4802"," 15"," shortland crescent"," glenwarren"," 02 39533604"," 5915616"," 0"," NoRole",57
"
rec-56985-dup-0",rec-15685-org," afr"," "," 28"," 19880201"," "," sophie"," kiz to"," vic"," clifton springs"," 3136"," 6"," burkitt street"," st jam s"," 8 81714176"," 9223628"," 0"," NoRole",58
"
rec-9107-org",rec-85157-org," ser"," f"," 25"," 19910905"," "," isabella"," revic"," vic"," golden square"," 2761"," 18"," weavell place"," "," 8 80202516"," 6645950"," 4"," NoRole",59
"
rec-61658-org",rec-59719-org," pak"," f"," 28"," 19880605"," "," trent"," jatoi"," nsw"," baraimal"," 3030"," 52"," colebatch place"," "," 02 38517557"," 8618852"," 1"," NoRole",60
"
rec-53317-org",rec-5054-org," tha"," f"," 26"," "," pfc"," john"," plaphol"," "," bonnyrigg"," 2430"," 348"," gleeson place"," "," 07 35123966"," 5414797"," 2"," NoRole",61
"
rec-86039-org",rec-77503-org," ina"," f"," 26"," 19900127"," "," indiana"," setiawan"," "," wantirna"," 3223"," 6"," turner place"," "," 07 67991369"," 4780069"," 7"," NoRole",62
"
rec-7943-org",rec-49043-org," ser"," m"," 35"," 19810622"," "," alessandria"," vjukic"," nsw"," bonnyrigg"," 4655"," 39"," goodsir place"," "," 612 27120709"," 3489656"," 9"," NoRole",63
"
rec-88347-org",rec-3038-org," rus"," f"," "," 19821122"," "," michael"," chicherin"," nsw"," greta"," 4059"," 2"," yeo close"," ctge 25"," 2 16210591"," 3568030"," 3"," NoRole",64
"
rec-47498-org",rec-80546-org," ger"," f"," "," 19880603"," ms"," saskia"," bock"," tas"," mosman"," 5640"," "," kidman close"," sheep station"," 07 64566527"," 9336062"," 0"," NoRole",65
"
rec-38056-org",rec-61436-org," iri"," "," 19"," 19970517"," mr"," benjamin"," kavanagh"," "," st kilda"," 3079"," 76"," waratah street"," "," 08 00297438"," 4120121"," 5"," NoRole",66
"
rec-61443-org",rec-41237-org," eng"," m"," "," 19470530"," "," troy"," cocks"," nsw"," wonboyn"," 2753"," 68"," officer crescent"," "," 08 52836436"," 7889852"," 9"," NoRole",67
"
rec-1422-org",rec-98278-org," unk"," m"," 28"," 19881016"," "," anari"," sclater"," vic"," nerrin nerrin"," 5473"," 65"," yambina crescent"," "," 618 08513860"," 7736217"," 6"," NoRole",68
"
rec-62929-dup-1",rec-47616-org," eng"," m"," 26"," 19900907"," ms"," xarlize"," mcentire"," vic"," wynnum west"," 3636"," 4"," carlile sdreet"," lynd hurat"," 618 24649577"," 2063628"," 9"," NoRole",69
"
rec-37326-org",rec-55225-org," eng"," f"," 30"," 19860611"," "," ashton"," snyders"," wa"," bayswater"," 3040"," 82"," wilkins street"," "," 08 31065592"," 2178653"," 9"," NoRole",70
"
rec-27572-org",rec-90075-org," ser"," f"," 34"," 19820101"," ms"," rhys"," priljaco"," sa"," birkenhead"," 5608"," 25"," dianella street"," "," 617 47469881"," 8156577"," 9"," NoRole",71
"
rec-49198-org",rec-72699-org," cze"," m"," 21"," 19951108"," ms"," tom"," hanak"," nsw"," milsons point"," 3083"," 1"," nunan crescent"," "," 2 35990314"," 8050815"," 4"," NoRole",72
"
rec-82638-dup-1",rec-18997-org," usa"," f"," 10"," 20060729"," ms"," mia"," drake"," nsw"," weilmoringle"," 2460"," 91"," dexter street"," "," 02 88154215"," 4888654"," 8"," NoRole",73
"
rec-37763-org",rec-43469-org," eng"," f"," 27"," "," "," harry"," rayne"," nsw"," lord howe island"," 5025"," 61"," beasley street"," sec 161"," 612 94454176"," 5384181"," 7"," NoRole",74
"
rec-45852-org",rec-89192-org," ind"," "," "," 19090422"," "," ciaran"," muthukaruppan"," qld"," broxburn"," 4680"," 2"," pridham street"," unfaan"," 613 31352008"," 9744596"," 3"," NoRole",75
"
rec-79024-org",rec-39661-org," eng"," "," 20"," 19961105"," "," cameron"," holme"," "," roxburgh park"," 2640"," 253"," murranji street"," ewenmar"," 02 22030828"," 1584022"," 9"," NoRole",76
"
rec-90883-dup-0",rec-21780-org," tur"," "," 26"," 19900723"," "," nathan"," dursun"," wa"," narra t rra"," 2259"," 10"," elkedra close"," parry h5e"," 08 78227981"," 6947582"," 6"," NoRole",77
"
rec-79204-org",rec-161-org," usa"," m"," 30"," 19861118"," mr"," oliver"," sanders"," nsw"," tregeagle"," 2604"," 9"," samuels crescent"," "," 2 86614192"," 5361845"," 7"," NoRole",78
"
rec-16296-dup-1",rec-8699-org," gre"," f"," 29"," 19870713"," ms"," "," carideys"," wa"," morgabtown"," 4455"," 46"," postle circuit"," clear creek"," 08 89002057"," 9627340"," 7"," NoRole",79
"
rec-26528-dup-0",rec-68809-org," eng"," f"," "," 19450716"," "," mitchell"," ruthe rfurd"," qld"," mentone"," 6020"," 5"," tenison-woods circuit"," rye parlc"," 03 79859100"," 7467165"," 8"," NoRole",80
"
rec-93768-org",rec-94070-org," usa"," f"," 10"," 20061226"," "," chloe"," herring"," act"," parliament house"," 2830"," "," ern florence crescent"," "," 02 19686322"," 7624404"," 0"," NoRole",81
"
rec-4094-dup-0",rec-84751-org," eng"," "," 25"," 19910425"," mr"," claire"," anthonyson"," "," craferst"," 6210"," 20"," hampton ciahcuit"," stonyrise"," 07 40222698"," 9150798"," 3"," NoRole",82
"
rec-87604-org",rec-58416-org," fin"," f"," 38"," 19780324"," "," jake"," pontinen"," qld"," yulabilla"," 4817"," 7"," sandover circuit"," aintree"," "," 1591700"," 0"," NoRole",83
"
rec-18347-org",rec-41129-org," chi"," f"," 30"," 19860228"," "," ethan"," wai"," nsw"," cranbourne"," 3180"," 9"," starling place"," gallagher house"," 2 87731716"," 4418755"," 3"," NoRole",84
"
rec-9684-org",rec-24424-org," unk"," f"," 32"," 19840804"," "," liam"," scofield"," sa"," smithfield plains"," 3015"," 17"," hillebrand street"," "," 617 42629594"," 4556194"," 0"," NoRole",85
"
rec-667-org",rec-73310-org," usa"," "," 35"," 19811231"," dr"," michael"," larsen"," qld"," highland plains"," 4573"," 3"," propsting street"," "," 3 27616550"," 4093375"," 5"," NoRole",86
"
rec-666-org",rec-7413-org," nor"," f"," 33"," 19830219"," "," kyle"," berge"," vic"," branxholme"," 2097"," 22"," paul coe crescent"," "," 8 67404334"," 7059403"," 9"," NoRole",87
"
rec-17937-dup-0",rec-97130-org," eng"," f"," 29"," 19870512"," "," keaton"," rattray"," wa"," brighton"," 3168"," 18"," green street"," "," 08 35939404"," 6748413"," 7"," NoRole",88
"
rec-8307-org",rec-72715-org," eng"," "," 6"," 20100630"," "," jacqueline"," andrewson"," qld"," bajool"," 5052"," 34"," kaveneys road"," "," 04 65454269"," 1109551"," 8"," NoRole",89
"
rec-45718-org",rec-16513-org," "," f"," 22"," 19940525"," "," zac"," thorpe"," wa"," stirling range national park"," 5085"," 54"," sidaway street"," "," 618 07769496"," 6319887"," 8"," NoRole",90
"
rec-83020-org",rec-25287-org," usa"," f"," "," 19750109"," pfc"," tara"," trujillo"," sa"," teringie"," 2570"," 44"," sadlier place"," "," 07 41038864"," 5481087"," 0"," NoRole",91
"
rec-11906-org",rec-20201-org," ind"," f"," 36"," 19801229"," ms"," marianne"," laungani"," vic"," "," 2329"," 101"," northbourne avenue"," glenhurst"," 08 57148312"," 3814780"," 1"," NoRole",92
"
rec-1037-dup-0",rec-77145-org," eng"," f"," 25"," 19910428"," "," tomas"," bloxham"," "," kingston"," 3206"," 31"," moorhouse sdreet"," "," 08 92145851"," 7483240"," 5"," NoRole",93
"
rec-7815-org",rec-66236-org," usa"," f"," 30"," "," mr"," "," parsons"," vic"," everton"," 2205"," 10"," bareena street"," "," 08 32927826"," 7298566"," 0"," NoRole",94
"
rec-54408-org",rec-75611-org," ind"," f"," 24"," 19920206"," "," tristan"," viswesh"," nsw"," walgett"," 7310"," 2"," benaroon circuit"," richmond valley brahman stud"," 02 77292918"," 7094459"," 4"," NoRole",95
"
rec-98217-org",rec-59340-org," spa"," f"," 32"," "," "," molly"," santilln"," "," carlingford"," 4008"," 8"," boddington crescent"," "," "," 4431704"," 2"," NoRole",96
"
rec-67306-org",rec-26208-org," ger"," f"," 33"," "," "," aaron"," tettelback"," "," kandos"," 2700"," 8"," anderson street"," "," 04 91311790"," 3918695"," 4"," NoRole",97
"
rec-35338-org",rec-8240-org," fre"," f"," "," 19431206"," "," kristen"," nordin"," vic"," balwyn north"," 3041"," 303"," wise street"," "," 08 98072453"," 9387997"," 8"," NoRole",98
"
rec-63050-org",rec-41594-org," usa"," m"," 11"," 20050219"," ms"," liam"," barrett"," qld"," wulguru"," 2200"," 24"," levine street"," morven"," 3 59276288"," 4352891"," 6"," NoRole",99
"
rec-13374-dup-1",rec-14491-org," dan"," f"," 26"," 19900708"," "," matthew"," wain"," vic"," palmoral"," 5267"," 32"," banner street"," tanglemah road"," 08 44971771"," 3347976"," 2"," NoRole",100
"
rec-25484-org",rec-65656-org," fin"," f"," 40"," 19761224"," "," shelby"," karttunen"," nsw"," deer park"," 2650"," 13"," feint street"," "," 612 56088570"," 2014890"," 3"," NoRole",101
"
rec-40568-org",rec-61572-org," chi"," "," 36"," 19800215"," "," daniel"," mu"," tas"," rokeby"," "," 5"," hilton close"," the provincial"," 617 98736488"," 6169916"," 8"," NoRole",102
"
rec-56519-org",rec-22199-org," chi"," m"," 30"," 19860802"," "," vianca"," shang"," wa"," dowerin"," 3088"," 6"," currong street"," redfern station"," 618 25101523"," 4437733"," 3"," NoRole",103
"
rec-55028-org",rec-49564-org," eng"," m"," 20"," 19960315"," "," alexis"," jacobsen"," nsw"," morwell"," 5073"," 37"," bangalay crescent"," "," 612 92781186"," 6751135"," 4"," NoRole",104
"
rec-51732-org",rec-14516-org," eng"," f"," 26"," 19901109"," ms"," amy"," thacker"," nsw"," balgowlah"," 2663"," 26"," parkhill street"," woodleigh"," "," 4461135"," 7"," NoRole",105
"
rec-3550-org",rec-63058-org," usa"," f"," "," 19871011"," "," emiily"," hampton"," "," ulladulla"," 3222"," 25"," fred williams crescent"," "," 04 20691725"," 3801755"," 6"," NoRole",106
"
rec-97381-org",rec-609-org," usa"," f"," 29"," 19870811"," mr"," leon"," boone"," "," granville"," 2068"," 25"," hillebrand street"," "," 04 35677417"," 4422641"," 9"," NoRole",107
"
rec-45241-org",rec-87683-org," usa"," f"," 28"," "," "," noah"," leung"," nsw"," berrilee"," 2027"," 15"," ivo whitton circuit"," "," 02 00485215"," 3276316"," 6"," NoRole",108
"
rec-81009-org",rec-60782-org," spa"," f"," "," 19390415"," "," ellen"," bermudez"," sa"," evandale"," 3701"," 40"," scantlebury crescent"," "," 07 96983136"," 3697542"," 7"," NoRole",109
"
rec-31676-org",rec-332-org," "," f"," 36"," 19801116"," "," jacob"," "," nsw"," bourke"," 2233"," 43"," canberra avenue"," "," 612 40979630"," 5554899"," 7"," NoRole",110
"
rec-2344-dup-0",rec-79924-org," eng"," f"," "," "," "," mikaela"," tipton"," "," andergrove"," 4 11"," 10"," curtinshopping centre"," hilltop view motel"," 02 52409405"," 9050688"," 3"," NoRole",111
"
rec-57711-org",rec-5455-org," usa"," "," 25"," "," "," eloise"," norton"," qld"," bundall"," 4159"," 19"," rivett street"," "," 613 26992287"," 9242571"," 2"," NoRole",112
"
rec-68356-org",rec-56405-org," usa"," f"," 28"," 19880214"," ms"," troy"," arnold"," nsw"," prestons"," 3865"," 37"," naden place"," "," 2 61134374"," 4747423"," 1"," NoRole",113
"
rec-43964-org",rec-94371-org," usa"," f"," 33"," 19830429"," dr"," blake"," "," vic"," hopetoun"," 4515"," 31"," loftus street"," kinross"," 8 09956879"," 1055804"," 8"," NoRole",114
"
rec-1811-dup-0",rec-92113-org," ara"," v"," 37"," 19790412"," "," noah"," lubena"," sa"," headhpool"," 3175"," 152"," sproule circuit"," "," 07 23360765"," 8161089"," 1"," NoRole",115
"
rec-48921-org",rec-50633-org," usa"," "," 26"," 19900205"," "," hayden"," rios"," nsw"," bundarra"," 2820"," 18"," sidaway street"," "," 2 34457889"," 6717772"," 4"," NoRole",116
"
rec-55926-org",rec-59008-org," cze"," "," 30"," 19860222"," cpt"," kaitlin"," "," nsw"," gundillion"," 5271"," 24"," atherton street"," "," 2 68493651"," 1098781"," 0"," NoRole",117
"
rec-12738-dup-1",rec-21225-org," usa"," f"," 10"," 20060430"," "," zakariah"," erick son"," nsw"," taree"," 2081"," 1 "," larcombe crescent"," "," 2 02394371"," 4860070"," 3"," NoRole",118
"
rec-81126-org",rec-34498-org," eng"," f"," 29"," 19870529"," pfc"," olivia"," danniel"," nsw"," furracabad"," 2233"," 2"," macquarie street"," "," 03 64397085"," 8268192"," 1"," NoRole",119
"
rec-46254-org",rec-54938-org," ser"," f"," "," 19450527"," mr"," michael"," mladvic"," nsw"," panania"," 2148"," 1"," summerland circuit"," "," 2 75090595"," 3550743"," 3"," NoRole",120
"
rec-46084-org",rec-9634-org," eng"," f"," 40"," 19760509"," "," harrison"," gardenar"," nsw"," gilead"," 2227"," 37"," gallagher street"," "," 02 81214679"," 6716627"," 3"," NoRole",121
"
rec-60860-org",rec-27100-org," chi"," f"," 24"," 19920502"," "," channing"," dun"," vic"," bellbridge"," 3516"," 24"," phillip avenue"," flowery dell"," 8 68249928"," 9964610"," 8"," NoRole",122
"
rec-38032-org",rec-72014-org," ser"," "," "," 19360611"," "," charlotte"," dizdarevic"," qld"," min min"," 3875"," 55"," twelve trees crescent"," the mall"," 03 72376754"," 5745026"," 3"," NoRole",123
"
rec-49630-org",rec-47947-org," unk"," f"," 24"," 19921016"," "," ella"," aani"," nsw"," birmingham gardens"," 3070"," 15"," pasmore close"," taronga"," 612 51981073"," 9031825"," 4"," NoRole",124
"
rec-81374-org",rec-61350-org," ind"," m"," 29"," 19871130"," dr"," daniel"," pritha"," qld"," blackall"," 2357"," 4"," noarlunga crescent"," "," 613 81482556"," 5161182"," 8"," NoRole",125
"
rec-65447-org",rec-88714-org," eng"," f"," 8"," 20081013"," "," liam"," goffe"," nsw"," rye park"," 3461"," 28"," lodder place"," "," 02 60050630"," 3549279"," 6"," NoRole",126
"
rec-69835-org",rec-17155-org," eng"," f"," 28"," 19880402"," dr"," hayley"," dennel"," wa"," hillside"," 4695"," 70"," "," "," 8 61316230"," 9836951"," 8"," NoRole",127
"
rec-40235-dup-0",rec-82380-org," ser"," f"," 25"," 19910730"," ms"," abbey"," privzek"," nsw"," tery hie hie"," 4715"," 26"," evelyn owen crescent"," the canberra hospital"," 612 70169332"," 3604997"," 4"," NoRole",128
"
rec-78092-org",rec-46488-org," eng"," f"," 34"," 19820511"," "," joshua"," jephson"," vic"," cremorne"," 3102"," 6"," jarvis place"," donald coburn lodg"," 8 03781710"," 1363582"," 9"," NoRole",129
"
rec-83487-org",rec-58035-org," eng"," f"," 34"," 19820719"," mr"," kye"," tollemache"," nsw"," varroville"," 3672"," 18"," house circuit"," "," 2 87549421"," 3457910"," 0"," NoRole",130
"
rec-49931-org",rec-34168-org," usa"," "," "," 19671003"," ms"," nicole"," juarez"," nsw"," vincentia"," 5168"," 38"," shackleton circuit"," morris arcade"," 612 57838609"," 9260502"," 7"," NoRole",131
"
rec-85113-dup-0",rec-11961-org," por"," f"," 32"," 19840112"," "," and ew"," guajira"," nsw"," wauchope"," 6014"," 4"," o'connor circuit"," "," 2 38562 56"," 1848054"," 4"," NoRole",132
"
rec-51073-org",rec-64405-org," usa"," f"," 32"," 19840514"," dr"," hudson"," gillespie"," vic"," wodonga"," 3060"," 15"," marquet retreat"," henry kendall bayside"," 8 96340070"," 9749570"," 3"," NoRole",133
